status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
REVIEW,cmta1mf5900syq8iyejmu80s9,1art,Gift Cards,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://1art.gr/,https://1art.gr
REVIEW,cmta5nkcq000154iymuc26j35,Access Shop,Gift Card - Access Shop,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,fashion:70 | experiences:62,https://access-shop.gr/en/gift-card/,https://access-shop.gr
REVIEW,cmta1f09t000nq8iyx3uehika,Adagio,Adagio Gift Voucher 200 euro,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://www.adagio.gr/el/,https://adagio.gr
REVIEW,cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,health-medical:129 | spa-wellness:125 | experiences:110 | books:68 | hotels:65,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,https://agigma.gr
REVIEW,cmta1hb5r008iq8iyqvjs32oy,Ammashop,GIFT CARD 100€ - ammashop,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://www.ammashop.gr/gift-cards,https://ammashop.gr
REVIEW,cmtb770up000jdkiys2xgzyjl,Archives,GIft Cards Archives,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,fashion:113 | experiences:107 | books:68,https://cicado.gr/en/product-category/gift-cards/,https://cicado.gr
REVIEW,cmta5nz6o002854iydldfcozj,Archives - Two And A Half - twoandahalf.gr,Gift Card Archives - Two And A Half - twoandahalf.gr,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79 | marketplaces:61,https://www.twoandahalf.gr/product-category/gift-card/,https://twoandahalf.gr
REVIEW,cmtb6ugoe000f3giyxjtw5z05,Art Center,Δωροεπιταγές,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,arts-crafts:81 | jewelry-watches:79 | beauty:74 | gaming:73 | books:68,https://www.art-center.com.gr/categories/4565/dora-doroepitages-/,https://art-center.com.gr
REVIEW,cmta1hfcn008sq8iy6i2fe0bp,Artcolour,Art & Colour Gift Card - €200,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://artcolour.gr/,https://artcolour.gr
REVIEW,cmta5nkqd000354iye66fxcah,Atelie,Atelie Gift Card,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://www.atelie.com.gr/178-giftcards,https://atelie.com.gr
REVIEW,cmta1gi8v0060q8iyfp9c7xcp,Atenea,eGift Card - Atenea,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,beauty:117 | fashion:110 | experiences:102 | spa-wellness:77,https://atenea.gr/products/gift-card,https://atenea.gr
REVIEW,cmta1mkio00tgq8iyvbnu4lyr,Badayestudio,Badayestudio Gift Card,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://badayestudio.gr/product/gift-card/,https://badayestudio.gr
REVIEW,cmtb77s4y004fdkiyo03xtcof,Badila,Badila Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,fashion:70,https://www.badila.gr/en/giftcard/,https://badila.gr
REVIEW,cmta4y9db000bsciyg566bd57,Barbopoulos,"Gift card - Barbopoulos store, Chania",,,AMBIGUOUS_OFFICIAL_EVIDENCE,,fashion:73,https://www.barbopoulos.gr/product/gift-card-barbopoulos/?srsltid=AfmBOorAqLtZNbTUv_YfKZX5JtDaTXCaoc6q5YwvyP7gLznz8dBJzqnc,https://barbopoulos.gr
REVIEW,cmta1ftak003lq8iyqic1n4x7,Barequip.gr,"Δωροκάρτες 100,00",,,AMBIGUOUS_OFFICIAL_EVIDENCE,,beauty:74 | fashion:70 | home:67 | food-delivery:66,http://www.barequip.gr/,https://barequip.gr
REVIEW,cmta1kioj00leq8iyp66jp838,Bloeur,GIFT CARD BLOEUR,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79,https://bloeur.gr/product-category/gift-card/,https://bloeur.gr
REVIEW,cmta1hp7z009uq8iycpmhq9bh,Bylia,Ηλεκτρονική Δωροκάρτα,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79 | beauty:74 | fashion:70,https://www.bylia.gr/product/e-gift-card/,https://bylia.gr
REVIEW,cmta1hpnc009wq8iyllivlokf,Bymeraki,Δωροκάρτα,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,kids-baby:118 | home:107,https://bymeraki.gr/product-category/wps_wgm_giftcard/,https://bymeraki.gr
REVIEW,cmta1gcgz005aq8iybkijogn9,Cardlink,Υπηρεσία Διαχείρισης Δωροκάρτας | Cardlink giftcard,,,IDENTITY_OR_PROGRAM_REVIEW_REQUIRED,,automotive:84 | health-medical:84,https://cardlink.gr/giftcard/,https://cardlink.gr
REVIEW,cmta1moos00twq8iy57e9lo7q,Carlamco,Carlamco Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,automotive:84 | technology:72 | home:67,https://www.carlamco.gr/gift-card,https://carlamco.gr
REVIEW,cmtb77zz5005ldkiyl90mvph8,Carrot Store,Carrot Store Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,fashion:110 | gifts-concept-stores:107 | home:107,https://carrotstore.gr/gift-cards/150e-gift-card/,https://carrotstore.gr
REVIEW,cmta1hs0500a4q8iy6cmwyvew,Cavallo,Cavallo e-gift card - Δωροκάρτα Αξίας 20€,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79,https://www.cavallo.gr/product/gift-card-100e/,https://cavallo.gr
REVIEW,cmta1kk4900lkq8iyorzj05jc,Celesteshop,Gift Card 50,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,automotive:84 | education:80 | kids-baby:78 | gaming:73 | technology:72,https://celesteshop.gr/c/dwrokarta/,https://celesteshop.gr
REVIEW,cmta4ycwk000psciyut3q4w1n,Christhellas,Christhellas Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79 | home:67 | experiences:62,https://christhellas.gr/product/christhellas-gift-card/?srsltid=AfmBOoq8_KSmhzAMtEMaCOiMRVmIGGmfPtRustVVUh8u2WwdVF_g-FwY,https://christhellas.gr
REVIEW,cmta1mq7900u2q8iy41zkg4cg,Cigarsmoke,Gift Card Αρχεία,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,beauty:74 | experiences:62,https://cigarsmoke.gr/el/gift-cards/,https://cigarsmoke.gr
REVIEW,cmtb6ul4v00133giyhgnnpf1j,ColorDrop,ColorDrop Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,education:80 | food-delivery:63,https://colordrop.gr/giftcard/,https://colordrop.gr
REVIEW,cmtb6uli700153giy75i0msk9,Confetti Gifts,Confetti Gifts Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,arts-crafts:81 | education:80 | spa-wellness:80 | gaming:76 | beauty:74,https://confetti-gifts.gr/product/dwrokarta-confetti-gifts/,https://confetti-gifts.gr
REVIEW,cmtb7718b000ldkiynw5j1q46,Cordella,Δωροκάρτα 500€,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,hotels:113 | experiences:110 | pets:86 | automotive:84 | education:80,https://www.cordella.gr/shop/empeiries/taxidia-metakiniseis/xenodoxeia-diamones/dorokarta-500_10995,https://cordella.gr
REVIEW,cmta1hupw00agq8iysdyh5to2,Cre T E,Κατηγορία: δωροκάρτα,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:119 | home:107 | arts-crafts:81 | kids-baby:78,https://cre-t-e.gr/product-category/jewelry/gift-card-jewelry/,https://cre-t-e.gr
REVIEW,cmta1kl4b00loq8iyupsiybh2,Creatorshop,Creatorshop Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,gaming:76 | experiences:62,https://creatorshop.gr/products/gift-card-1,https://creatorshop.gr
REVIEW,cmta1mseo00uaq8iyrfav970x,Crystalswan,Gift Card - Crystal Swan,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:82 | gaming:73 | technology:69 | home:67,https://www.crystalswan.gr/product-category/gifts/gift-card/,https://crystalswan.gr
REVIEW,cmtb6umlr001b3giycaopqllh,DMK Tools,DMK Tools Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,automotive:124 | home:107 | arts-crafts:81,https://dmktools.gr/product/organa-metrisis/trochi-odikis-metrisis/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,https://dmktools.gr
REVIEW,cmtb7i5pu001h04iyyjorsy8i,Dia Tauta Gift Shop e,Dia Tauta Gift Shop e-gift card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,gifts-concept-stores:110 | food-delivery:103 | jewelry-watches:79 | beauty:74 | gaming:73,https://diatautaathens.com/products/dia-tauta-gift-shop-e-gift-card,https://diatautaathens.com
REVIEW,cmtb7r2w80008u8iyzhcede6d,Digas,Digas Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,health-medical:129 | home:112 | pets:86 | education:80 | spa-wellness:77,https://www.digas.gr/,https://digas.gr
REVIEW,cmta1hyw300awq8iy0hlig2se,Driverstation,Δωροκαρτα - DriverStation,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,automotive:84 | pharmacy:76 | beauty:74 | sports:72 | home:67,https://driverstation.gr/ola-ta-proionta/dorokartes/dorokarta/,https://driverstation.gr
REVIEW,cmtb773o9000xdkiy4c56wk0k,Easlanidis,Δωροκάρτα,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,spa-wellness:80 | jewelry-watches:79 | gaming:76 | technology:72 | home:67,https://www.easlanidis.gr/gift-cards,https://easlanidis.gr
REVIEW,cmta1mwe200uqq8iyw8gppk86,Ebru,Gift Vouchers - Káte,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79 | beauty:74 | fashion:70 | home:67 | experiences:62,https://kate.ebru.gr/product/gift-vouchers/,https://ebru.gr
REVIEW,cmta1fnc4002zq8iy3yrpxjfz,Ekklisiastika Karditsa,Κολώνας Δωροκάρτα 50,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,arts-crafts:81 | gaming:73 | home:67,https://ekklisiastikakarditsa.gr/,https://ekklisiastikakarditsa.gr
REVIEW,cmta1i4s700b8q8iy5xesqkh9,Elegancy,Elegancy Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,beauty:122 | experiences:107 | education:80,https://www.elegancy.gr/gift-card,https://elegancy.gr
REVIEW,cmta1mxa000uuq8iyl8z18jfw,Elephantstore,Elephantstore Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,fashion:110 | gifts-concept-stores:102 | spa-wellness:80 | jewelry-watches:79 | beauty:74,https://www.elephantstore.gr/products/gift-card,https://elephantstore.gr
REVIEW,cmta1i6dl00beq8iybqfqttuj,Erero,Erero Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79,https://erero.gr/,https://erero.gr
REVIEW,cmtb7i31b001404iy197cb72x,Eureka Athens,Eureka Athens Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,experiences:110 | books:108 | spa-wellness:80 | beauty:74 | travel:64,https://eurekathens.com/athens-gift-card/,https://eurekathens.com
REVIEW,cmta1i86000bmq8iy5atelyii,Eyemazing,Ψηφιακή δωροκάρτα Eyemazing - Χωρίς κατηγορία,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://eyemazing.gr/,https://eyemazing.gr
REVIEW,cmta4ygt70015sciy7ka9te7j,Fairytale,Fairytale Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,restaurants:106 | experiences:102 | books:68 | hotels:65,https://fairytale.com.gr/en/product/fairytale-gift-card/?srsltid=AfmBOor8Ibifq_G5Z787tkZNY5Tl6yhx9lujOGDrW4OnG-Azk2KUCE52,https://fairytale.com.gr
REVIEW,cmta1i93400bqq8iyekp0bc5g,Fisika,E-Gift Card - Fisika,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,spa-wellness:120 | beauty:117 | experiences:102 | jewelry-watches:79 | pharmacy:76,https://fisika.gr/gifts/gift-vouchers/,https://fisika.gr
REVIEW,cmta1lldv00pqq8iyvvgnzsz2,Floky,Gift Card Floky,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,sports:72,https://floky.gr/products/gift-card-floky,https://floky.gr
REVIEW,cmta1lue100qoq8iyzojkwbcq,Forward,Gift Voucher,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,sports:75 | fashion:70 | travel:64,https://www.forward.gr/product/gift-voucher/,https://forward.gr
REVIEW,cmta1iast00byq8iyu8sip87d,Gabi,Gift Card - Gabi,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,kids-baby:121 | fashion:110 | automotive:84 | education:80 | jewelry-watches:79,https://gabi.gr/products/gift-card,https://gabi.gr
REVIEW,cmta1f8o2001lq8iy7sedywm0,Greenpeace,Δωροκάρτα,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,books:68,https://eshop.greenpeacegreece.org/product/dwrokarta/,https://eshop.greenpeacegreece.org
REVIEW,cmta1icyu00c8q8iytwvndmek,Harmanis,Δωροεπιταγή 300 ευρώ,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://harmanis.gr/,https://harmanis.gr
REVIEW,cmta1fygo0045q8iypmd5evvg,HerbStore,HerbStore Δωροκάρτα,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://www.herbstore.gr/giftcertificates,https://herbstore.gr
REVIEW,cmta1n6q100vwq8iyj6rksewk,Hugshop,Gift Card | hug,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,kids-baby:121 | fashion:113,https://www.hugshop.gr/product/gift-card/,https://hugshop.gr
REVIEW,cmtb78gcm007sdkiyiijij48q,I Thought Of You,I Thought Of You,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,spa-wellness:80 | experiences:62 | marketplaces:61,https://www.ymonanatripsis.gr/en/gift-card/,https://ymonanatripsis.gr
REVIEW,cmta1krb300meq8iyewvehlr3,Idil,e-Gift card | IDIL,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,arts-crafts:81 | fashion:70,https://www.idil.gr/gift-card,https://idil.gr
REVIEW,cmta1ihz900csq8iy52zsyahm,Imanoglou,Δωροκάρτα,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:127 | home:115 | experiences:102 | beauty:74 | books:68,https://imanoglou.gr/en/catalogue/giftcard_50/,https://imanoglou.gr
REVIEW,cmta1m9k500scq8iyuyu7g8dp,Inandela,Inandela Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,fashion:70,https://www.inandela.gr/collections/gift-card%F0%9F%8E%80,https://inandela.gr
REVIEW,cmta1fj1o002lq8iyo5np81fy,Ipatios,Δωροκάρτα 100,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79 | beauty:74 | fashion:73 | technology:69,https://ipatios.gr/c/gynaika/dwrokarta-gynaika/,https://ipatios.gr
REVIEW,cmtb6uso100263giyirsjmlru,Joykidsboutique,Δωροκάρτα,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,kids-baby:78 | sports:72 | fashion:70 | experiences:62,https://joykidsboutique.gr/shop/uncategorized/gift-card/,https://joykidsboutique.gr
REVIEW,cmta1lmrm00pwq8iykcovjeo1,Justbrazilstore,Justbrazilstore Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,jewelry-watches:79 | beauty:74 | fashion:70 | home:67 | restaurants:66,https://www.justbrazilstore.gr/products/gift-card,https://justbrazilstore.gr
REVIEW,cmta1n88i00w2q8iyediptv4s,Kaelego,Gift card-50,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,beauty:117 | home:107,https://kaelego.gr/gift-card/,https://kaelego.gr
REVIEW,cmtb7854p0069dkiyksq1j4oy,Kakiasoptics,Δωροκάρτα | Gift card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,sports:72,https://kakiasoptics.gr/products/gift-card/,https://kakiasoptics.gr
REVIEW,cmta5npkk000t54iyjgkmw0i1,Kalina Concept Store,Kalina Concept Store - GIFT CARD,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,beauty:114 | gifts-concept-stores:110 | spa-wellness:80 | jewelry-watches:79 | fashion:70,https://kalinaconceptstore.gr/products/gift-card-kalina-concept-store?srsltid=AfmBOorgzWkZpfBaPYqqARKb9wop02LbcC_yk1o_0sVP6K0hJOkAJntx,https://kalinaconceptstore.gr
REVIEW,cmta1lj9c00piq8iynmfth5h9,Kantarzoglou,€150.00 Gift Card,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,arts-crafts:81 | home:67 | hotels:65,https://www.kantarzoglou.gr/el/my-gift-cards/,https://kantarzoglou.gr
REVIEW,cmtb62lvm001194iyq5zn5axw,Kids Garden,Gift Card - Kids Garden,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,kids-baby:78 | fashion:70 | experiences:62,https://www.kidsgarden.gr/en/product/gift-card-en/?srsltid=AfmBOooSfynbL7v300RE025ECEyB-qTuEwnqETUiXC2RdMpEkcbTGQpl,https://kidsgarden.gr
REVIEW,cmta1in6000deq8iyzrf26jcw,Kois Optics,Kois Optics Gift Card,,,NO_OFFICIAL_CATEGORY_EVIDENCE,,,https://www.kois-optics.gr/el/products/giftcard,https://kois-optics.gr
REVIEW,cmta4ypmb0025sciygzh9a89h,Kounelis,e-GIFT CARD,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,automotive:124 | home:107,https://kounelis.com.gr/gift-card?srsltid=AfmBOopGy1Q0alXGRKRaPZ7Zw67Cu0xX91DBXnXsxrlHO5Inz0OYZUu1,https://kounelis.com.gr
REVIEW,cmta1flev002rq8iyn4j6f4f1,Kounio,Δωροκάρτα - Gift Card - 25,,,AMBIGUOUS_OFFICIAL_EVIDENCE,,gaming:73 | technology:72 | home:67,https://www.kounio.gr/,https://kounio.gr
