score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v2_bucket,v2_reason
100,assos.com,"Gift Card Gold, » ASSOS Of Switzerland",https://www.assos.com/se/gift-card-gold-146465.html,"Gift Card Gold, » ASSOS Of Switzerland","Gift Card Gold - ASSOS Of Switzerland - Official Online Shop. Gift Card Gold. 3 100,00 SEK. * required fields. Sender name *. Sender email *. Recipient name ...","""Switzerland"" retail ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,austrian.com,Austrian Airlines Gift Cards,https://www.austrian.com/ca/en/book/flights/giftvoucher,Austrian Airlines Gift Cards,Make your loved ones' travel dreams come true and give them an unforgettable experience with a Gift Card. ... Austria. Belarus. Belgium. Bosnia-Herzegovina.,"""Austria"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,barcelo.com,Hotel Gift Cards | Give a Barceló Hotel Group experience,https://www.barcelo.com/en-es/gift-card/,Hotel Gift Cards | Give a Barceló Hotel Group experience,"Cádiz, Spain. 10% discount · Barceló Punta Umbría Mar. Punta Umbría, Spain ... Buy a gift card to make a booking, give as a gift or treat yourself to an ...","""Spain"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,bershka.com,Δωροκάρτα - Bershka,https://www.bershka.com/gr/gift-card.html,Δωροκάρτα - Bershka,Δωροκάρτα (). 0. Ηλεκτρονική κάρτα e-gift card. Ενεργοποίηση κάρτας. Δες το ... Leather-look · Festival season · Party · Summer vibe. GET THE LOOK AΝΤΡΑΣ.,"""leather"" ""gift card"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,bilderberg.nl,Bilderberg Gift Cards,https://www.bilderberg.nl/en/gift-vouchers/,Bilderberg Gift Cards,The Bilderberg Gift Card can be used freely at all Bilderberg hotels and restaurants in the Netherlands. Any amount between €25 and €500 is possible. Order your ...,"""Netherlands"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,brownthomas.com,The Brown Thomas Arnotts Gift Card,https://www.brownthomas.com/ni/gifts/gift-cards/,The Brown Thomas Arnotts Gift Card,"A gift card displayed in an open black envelope with 'Brown Thomas' text, ... Ireland (EUR), Northern Ireland (GBP). Continue shopping. Privacy Preference ...","""Ireland"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,celebritycruises.com,Celebrity Cruises Gift Card,https://www.celebritycruises.com/gift-cards,Celebrity Cruises Gift Card,Celebrity Cruises Gift Card. Buy Now. undefined. Home; Gift Cards. GIVE THE GIFT ... Find a Cruise. Start Planning · Social icon pin1 · facebook · instagram ...,"""cruise"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,charleskeith.eu,Gift Card - Black Leather - 04 - CHARLES & KEITH GR,https://www.charleskeith.eu/gr/CKGIFTCARD-17.html,Gift Card - Black Leather - 04 - CHARLES & KEITH GR,Gift Card - Black Leather · The gift card can only be used in the currency that it was purchased in. · The gift card is valid for 1 year from the date of your ...,"""leather"" ""gift card"" Greece",3,data\discovery\mass-harvest-v5\clean-v5.3\greece-market-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,contiki.com,Travel Gift Card | Holiday Gift Voucher | Contiki EU,https://www.contiki.com/en-eu/resources/travel-gift-card,Travel Gift Card | Holiday Gift Voucher | Contiki EU,Want to give a Contiki travel gift card to a special person with a long list of travel dreams ... Caribbean Netherlands (+599). Cayman Islands (+1). Central ...,"""Netherlands"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,ekoi.com,Ekoï Gift Voucher,https://www.ekoi.com/en/gift-vouchers/8204-cheque-gift-ekoi-0400000820408.html,Ekoï Gift Voucher,Performance Eyewear · Road Cycling Sunglasses · Photochromic Cycling Glasses ... Gift Voucher. 32 reviews. GIFT VOUCHER. 1 / 2. 2 / 2. GIFT VOUCHER. $0.00. select ...,"""eyewear"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
100,en.caudalie.com,eGift Card - Caudalie,https://en.caudalie.com/p/7265/gift-card.html,eGift Card - Caudalie,An e-Gift Card purchased in boutiques in France can be used on caudalie.com and/or in Caudalie Boutique SPAs in France (excluding Vinothérapie Spas). An e ...,"""France"" beauty ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
80,fourseasons.com,Four Seasons Gift Cards: Give the Gift of Their Dreams,https://www.fourseasons.com/magazine/discover/unique-gift-ideas/,Four Seasons Gift Cards: Give the Gift of Their Dreams,"... Gift Card ... Spanish (Spain), Chinese (Simplified), Arabic, Japanese, Russian, Chinese (Traditional), Portuguese (Brazil), Portuguese (Portugal) ...","""Spain"" hotel ""gift card"" official",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,GLOBAL_BRAND_REVIEW,recognized_global_brand
