score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
60,57fashionbar.com,GIFTCARDS,https://57fashionbar.com/collections/giftcards?srsltid=AfmBOoocuvtx3h_4gHRdVm2M54dTTSWoKy9MMoT6YlU9YkE9aycRdvr8,GIFTCARDS,"GIFT CARD 50€. Shop Now >. GIFT CARD 50€. GIFT CARD 50€. 57 FASHION BAR. Regular price €50,00 · GIFT CARD 100€. Shop Now >. GIFT CARD 100€.","""fashion"" ""gift card"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
80,8aisti.com,Beauty Salon Kahdeksas Aisti,https://www.8aisti.com/en/gifts/?srsltid=AfmBOorMGnwMxNqFDkAAM1oJ_Yc7Fy0cHA_QXQlg7UDRy7p959o4vMCB,Beauty Salon Kahdeksas Aisti - Gift cards,"We deliver a high-quality Kahdeksas Aisti gift card in a stylish gift envelope by post to the address of your choice, or you can pick it up at our salon if ...","""Finland"" beauty ""gift card"" official",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear
80,acousticecology.music.uoa.gr,edie parker Gift Card Factory Sale | Bags,https://acousticecology.music.uoa.gr/?a,edie parker Gift Card Factory Sale | Bags,This Item Ships For Free! edie parker Gift Card. Bags / Edie Parker / edie parker Gift Card Factory Sale. 10 More Colors. 4.74.,"site:.gr ""bags"" ""gift card""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear
100,activetravelersingreece.com,Gift Card,https://activetravelersingreece.com/event/giftcard/,Gift Card,Past Events · Inspire me · Giftcard · Custom Trips; Workout Team; Active Travelers ... Πληροφορίες για τη Δωροκάρτα. Κόστος: 15€ / 35€ / 50€ / 60€ / 80€ / 150 ...,"""events"" ""δωροκάρτα"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,adolfodominguez.com,Gift Card | AD Portugal,https://www.adolfodominguez.com/en-pt/gift-card-199990000300.html,Gift Card | AD Portugal,"We think that one gift is enough. Choose the value of your gift card: €50, €100 or €200. Send it by email to whoever you want. Enjoy the good choice.","""Portugal"" fashion ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,affine-atelier.com,AFFINÉ Gift Card | Hand-Blown Glass Lighting,https://affine-atelier.com/products/gift-card-affine?srsltid=AfmBOoo9pOKbtjAH3qtgEkfeW5cO62OineDHeWLZgrspYcdfkt4ny2S7,AFFINÉ Gift Card | Hand-Blown Glass Lighting,"Give the gift of timeless design. The Affiné Gift Card can be redeemed on any piece in our hand-blown lighting collection, sent digitally by email.","""lighting"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
85,afit.gr,Αγοράστε μία Δωροεπιταγή,https://afit.gr/index.php?route,Αγοράστε μία Δωροεπιταγή,Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ... Το Afit.gr δημιουργήθηκε από την εμπειρία της Power Force στον χώρο του fitness ...,"site:.gr ""fitness"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,REVIEW,greek_domain_brand_coherence_unclear
100,agorakifissia.com,Gift cards,https://agorakifissia.com/gift-cards/,Gift cards,"What is the difference between an e-Gift Card and physical Gift Card? A ... Argyropoylou 10, Kifisia 145 62, Attica, Greece. VAT: 033240915. GEMI ...","""Kifisia"" ""garden"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,agramada.com,Buy your Gift Card,https://www.agramada.com/book-gift-card,Buy your Gift Card,Agramada Hotel. Languages. GR · EN · Press · Feedback Form · Contact Us ... Buy your Gift Card. 0. Your cart. ×. Make a reservation · Reservation ...,"""hotel"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,agrotourism.com.cy,Cyprus Gift Cards for Stays & Experiences - Agrotourism,https://agrotourism.com.cy/buy-e-gift-card/,Cyprus Gift Cards for Stays & Experiences - Agrotourism,giftcard 50. Discover Cyprus Gift Card. Buy Now. €50.00 · giftcard 75. Discover Cyprus Gift Card. Buy Now. €75.00 · giftcard 100. Discover Cyprus Gift Card. Buy ...,"""Cyprus"" hotel ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear
