bucket,reason,domain,merchantName,possibleOfficialUrl,title,score,occurrences,notes,sourceFiles
REJECT,editorial_reseller_platform_or_promo_signal,aidha.org,Buy a Gift Card!,https://aidha.org/events-and-news/gift-of-education-2022/giftcard/,Buy a Gift Card!,100,1,... education course: Module 1 – Manage Your Money & Tech. Available as a physical gift card (no e-cards available). The gift card will be posted to the address ...,data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,alliedmarketresearch.com,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis",https://www.alliedmarketresearch.com/italy-gift-cards-market,"Italy Gift Cards Market Size, Share, Growth, Trends | Analysis",100,1,"For instance in April 16, 2020, Instagram in Italy has now officially announced the addition of its new gift card, food order, and fundraiser tools for stories ...",data\discovery\mass-harvest-v5\clean-v5.5\review.csv
REJECT,editorial_reseller_platform_or_promo_signal,autotriti.gr,Με κάθε αγορά ελαστικών Falken και δωροκάρτες καυσίμων ...,https://www.autotriti.gr/data/news/preview_news/falken-fill-up-winter-campaign-ellada_276992.asp,Με κάθε αγορά ελαστικών Falken και δωροκάρτες καυσίμων ...,85,6,... Car Accessories ... Εγγράφεστε στην πλατφόρμα: campaign.falkentyre.com/gr και παραλαμβάνετε τη δωροκάρτα καυσίμων EKO εύκολα και γρήγορα.,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,babyshop.com.gr,Διαγωνισμός 2 Δωροεπιταγές αξίας 100€,https://babyshop.com.gr/%CE%B4%CE%B9%CE%B1%CE%B3%CF%89%CE%BD%CE%B9%CF%83%CE%BC%CF%8C%CF%82-2-%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AD%CF%82-%CE%B1%CE%BE%CE%AF%CE%B1%CF%82-100-el/?srsltid,Διαγωνισμός 2 Δωροεπιταγές αξίας 100€,85,3,Διαγωνισμός 2 Δωροεπιταγές αξίας 100€. Διαβάστε τους όρους του Διαγωνισμού. ΕΓΓΡΑΦΗ ΣΤΟ NEWSLETTER. Μάθετε πρώτοι για τις προσφορές μας! e-mail. ΕΓΓΡΑΦΗ ...,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,blog.enafood.gr,Δωροκάρτα και Κουπόνι Προσφοράς Archives - ENABLOG,https://blog.enafood.gr/tag/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-%CE%BA%CE%B1%CE%B9-%CE%BA%CE%BF%CF%85%CF%80%CF%8C%CE%BD%CE%B9-%CF%80%CF%81%CE%BF%CF%83%CF%86%CE%BF%CF%81%CE%AC%CF%82/,Δωροκάρτα και Κουπόνι Προσφοράς Archives - ENABLOG,80,1,Δωροκάρτα και Κουπόνι Προσφοράς · Επιχειρήσεις εστίασης: 4 συμβουλές για αποδοτική διαχείριση του Facebook · Χρειάζεστε Βοήθεια; · Σχετικά με την ...,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv
REJECT,support_news_blog_dev_or_promo_subdomain,blog.nosh.ng,Five Of The Most Popular Gift Card Types Available In Sweden,https://blog.nosh.ng/popular-gift-cards-available-sweden,Five Of The Most Popular Gift Card Types Available In Sweden,100,1,"Ahlens Gift Card is issued by a famous retail store in Sweden. They are well known for diverse home products, fashion, media, and beauty products. An Ahlens ...",data\discovery\mass-harvest-v5\clean-v5.5\review.csv
REJECT,editorial_reseller_platform_or_promo_signal,boss-shoes.gr,Αγοράστε μία Δωροεπιταγή - Boss Shoes!,https://www.boss-shoes.gr/index.php?route,Αγοράστε μία Δωροεπιταγή - Boss Shoes!,85,1,Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ολοκληρωθεί ή πληρωμή σας. ... Γίνε μέλος στο Newsletter της Boss Shoes και κέρδισε εκπτωτικό ...,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv
REJECT,editorial_reseller_platform_or_promo_signal,boussiasnews.cy,"Mall Gift Card: Τώρα και ψηφιακή, η αγαπημένη δωροκάρτα ...",https://www.boussiasnews.cy/el/news/1709043606/mall-gift-card-twra-kai-psifiaki-i-aghapimeni-dorokarta-apo-to-mall-of-cyprus-mall-of-engomi,"Mall Gift Card: Τώρα και ψηφιακή, η αγαπημένη δωροκάρτα ...",100,1,"Mall Gift Card: Τώρα και ψηφιακή, η αγαπημένη δωροκάρτα από το Mall of Cyprus & Mall of Engomi! ... mobile phones. Digital or physical, whichever ...",data\discovery\mega-harvest-v6\clean-v6\review.csv | data\discovery\review-universe-v1\still-review.csv
REJECT,editorial_reseller_platform_or_promo_signal,businesswire.com,Greece Gift Card and Incentive Card Market Intelligence ...,https://www.businesswire.com/news/home/20240415539994/en/Greece-Gift-Card-and-Incentive-Card-Market-Intelligence-and-Future-Dynamics-2024-Market-will-Increase-from-%24800-Billion-in-2023-to-Reach-%241.1-Billion-by-2028---ResearchAndMarkets.com,Greece Gift Card and Incentive Card Market Intelligence ...,100,1,Jewelry; Sporting Goods; Home & Kitchen Accessories & Appliances; Travel; Entertainment & Gaming; Other. Gift Card Spend by Retail Sector (Split ...,data\discovery\mass-harvest-v5\clean-v5.5\review.csv
REJECT,editorial_reseller_platform_or_promo_signal,capital.gr,Ηλεκτρονική δωροκάρτα Skroutz: Μια ακόμη υπηρεσία του ...,https://www.capital.gr/market-news/3642201/ilektroniki-dorokarta-skroutz-mia-akomi-upiresia-tou-skroutz-marketplace-gia-kathe-peristasi/,Ηλεκτρονική δωροκάρτα Skroutz: Μια ακόμη υπηρεσία του ...,80,1,"Ο χρήστης μπορεί να επιλέξει δωροκάρτα αξίας 20€, 50€, 100€ και 150€, και για την αποστολή της αρκεί απλά να γνωρίζει το email του παραλήπτη. Η ...",data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv
