score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v2_bucket,v2_reason
55,4gold.eu,4gold,https://4gold.eu/en-gr/products/e-giftcard?srsltid=AfmBOooWGuDwlP3Y6vMIScz0AmXa_dCXXGwLXaBMSph0uaLhqLmK9zGW,E-giftcard - 4GOLD,"The 4Gold E-Gift Card isn't just a gift, it's the perfect boost to help someone fuel their journey towards maximum performance and a healthier lifestyle.","""fuel"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,abbeytravel.ie,Abbey Travel Gift Vouchers,https://www.abbeytravel.ie/abbey-travel-gift-vouchers,Abbey Travel Gift Vouchers,Spain Back. Costa ... Abbey Travel Gift Vouchers. Give the gift of travel with an Abbey Travel Gift Voucher. Get A Gift Voucher. Abbey Travel Gift Vouchers ...,"""Spain"" travel ""gift voucher"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,aberdevine.co,Aberdevine,https://aberdevine.co/products/aberdevine-e-gift-card?srsltid=AfmBOor5jrGAjbef3zyqGXV1ecCiTUFT7pwEISPH4OfwxUNM3m3KXv8q,E-GIFT CARD - Aberdevine,Lingerie gift card. E-Gift Card- perfect lingerie gift. Treat them to the perfect present by letting them choose their own dream Aberdevine lingerie set.,"""lingerie"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,achilleassotiriou.com,Gift Card 200€ | ACHILLEAS SOTIRIOU,https://www.achilleassotiriou.com/product-page/gift-card-150-1?srsltid=AfmBOoqyPEjjSHUC_JEqXxxrisoFufdvYRnWQsw8UGft92tgMKb3T_Fk,Gift Card 200€ | ACHILLEAS SOTIRIOU,"Gift Card 200€ ... A hair salon gift card offers a luxurious experience. Treat yourself or a loved one to expert haircare, styling, and pampering services. It's a ...","""hair salon"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,acquoofsweden.com,ACQUO of Sweden,https://acquoofsweden.com/products/acquo-gift-card?srsltid=AfmBOop0hzMNoCCrL8WMAwkN2O-d6_8VvJPl-LtmDuZc1udrL_BTn1K1,ACQUO of Sweden - Gift Card,Give them the gift of choice with a gift card from ACQUO of Sweden. Gift cards are delivered immediately by email and contain instructions to redeem them at ...,"""Sweden"" fashion ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,aesthet.com,aesthet.com,https://www.aesthet.com/el/gift-cards-2/?srsltid=AfmBOoohgm8UHEW0EmfgEwmt4H_XYhiuayAVZxRmbavrgsxRnzhd-GHD,Gift Cards - aesthet.com,Contessina Jewelry · Costarellos · Cristina Beautiful Life · Cutcuutur · Danai ... Κάντε χαρούμενους τους αγαπημένους σας με μια δωροκάρτα Aesthet! Από (OΝ/ΜΟ) ...,"""Athens"" ""jewelry"" ""δωροκάρτα""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,ailanajewelry.com,AILANA JEWELRY GIFT VOUCHER,https://ailanajewelry.com/en-fr/products/gift-voucher-ailana-jewelry?srsltid=AfmBOopxmGJ6iWeKOzeugsnZdF2Qsy8v7W0vXzDgCdCGmJafwykovSDy,AILANA JEWELRY GIFT VOUCHER,AILANA JEWELRY GIFT VOUCHER ... Tax included. Shipping calculated at checkout. Denominations. 20.00 € 40.00 € 60.00 ...,"""jewelry"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,alisahne.com,Gift Card | ALISAHNE Resort Collection,https://alisahne.com/en/product/gift-card/,Gift Card | ALISAHNE Resort Collection,HomeGift cardGift Card. gift-card-n. Gift Card. Shipping Worldwide; Free ... Close submenu (Resort Wear)Resort Wear. Dresses · Jumpsuits – Playsuits · Kaftans ...,"""resort"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
80,ananne.com,Gift voucher for high-quality active ingredient cosmetics | ananné,https://ananne.com/en/products/geschenkgutschein?srsltid=AfmBOorDe79bxQ6MC3h1MDJA4V0Sr1-YBEd_EAgZ6pzO3IAPIsH_GtRq,Gift voucher for high-quality active ingredient cosmetics | ananné,Gift voucher ananné | Gift voucher to print yourself ➢ natural cosmetics ✓ alcohol-free ✓ plastic-free ✓ cruelty-free ✓ last minute gift | discover ...,"""cosmetics"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
100,apos.audio,Apos Audio Gift Card,https://apos.audio/products/apos-audio-gift-card?srsltid=AfmBOooWRQI2lNqR05WjeP18_a5BeGw1dBc4cH9s0IRsjgwP_-tZuYlc,Apos Audio Gift Card,"Give the gift of premium audio with an Apos Audio gift card. Perfect for audiophiles and music lovers, our gift cards allow recipients to choose from a wide ...","""audio"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card,MANUAL_REVIEW,foreign_or_unclear_market_relevance
