type,actionId,cardId,merchantId,expected,value,values,deliveryMethods,redemptionChannels,validityMonths,evidence
UPDATE_CARD_TITLE,update-title:cmta4ybyz000lsciyi05bqwwl,cmta4ybyz000lsciyi05bqwwl,cmta4ybsv000ksciy2wk84kj0,Δωροκάρτα CandleJuice Gift Card 100€,Candlejuice Gift Card,,,,,"Official product copy explicitly calls this a digital gifting experience.|Official gift-card category lists €10, €25, €50 and €100.|The official general gift-card category replaces the denomination-specific catalog URL."
UPDATE_OFFICIAL_URL,update-official-url:cmta4ybyz000lsciyi05bqwwl,cmta4ybyz000lsciyi05bqwwl,cmta4ybsv000ksciy2wk84kj0,https://candlejuice.gr/product/dorokarta-candlejuice-gift-card-100e/,https://candlejuice.gr/product-category/dorokartes-candlejuice-gift-cards/,,,,,"Official product copy explicitly calls this a digital gifting experience.|Official gift-card category lists €10, €25, €50 and €100.|The official general gift-card category replaces the denomination-specific catalog URL."
CREATE_VARIANT,create-digital-variant:cmta4ybyz000lsciyi05bqwwl,cmta4ybyz000lsciyi05bqwwl,cmta4ybsv000ksciy2wk84kj0,,,10|25|50|100,,,,"Official product copy explicitly calls this a digital gifting experience.|Official gift-card category lists €10, €25, €50 and €100.|The official general gift-card category replaces the denomination-specific catalog URL."
UPDATE_CARD_TITLE,update-title:cmtb78fkx007odkiylrl8o7it,cmtb78fkx007odkiylrl8o7it,cmtb78ffp007ndkiyn4woc6vx,ΔΩΡΟΚΑΡΤΑ 100€,Hobbywood Gift Card,,,,,"Official page says the voucher is emailed to the recipient or buyer.|Official page confirms €100 and links the €10 and €5 cards as combinable values.|Official terms state one-year validity and online/physical-store redemption.|No unverified general URL is substituted, so the exact official product URL is preserved."
CREATE_VARIANT,create-digital-variant:cmtb78fkx007odkiylrl8o7it,cmtb78fkx007odkiylrl8o7it,cmtb78ffp007ndkiyn4woc6vx,,,5|10|100,EMAIL,ONLINE|PHYSICAL_STORE,12,"Official page says the voucher is emailed to the recipient or buyer.|Official page confirms €100 and links the €10 and €5 cards as combinable values.|Official terms state one-year validity and online/physical-store redemption.|No unverified general URL is substituted, so the exact official product URL is preserved."
UPDATE_CARD_TITLE,update-title:cmta5nw9j001t54iybpluaasg,cmta5nw9j001t54iybpluaasg,cmta5nw46001s54iy628m45ik,Δωροκάρτα Poem-Luxury 100,Poem Luxury Gift Card,,,,,Official product page explicitly states delivery to the recipient email address.|Official gift-card category lists €50 and €100.|The official general gift-card category replaces the denomination-specific catalog URL.
UPDATE_OFFICIAL_URL,update-official-url:cmta5nw9j001t54iybpluaasg,cmta5nw9j001t54iybpluaasg,cmta5nw46001s54iy628m45ik,https://poem-luxury.gr/product/giftcard-100/,https://poem-luxury.gr/product-category/wps_wgm_giftcard/,,,,,Official product page explicitly states delivery to the recipient email address.|Official gift-card category lists €50 and €100.|The official general gift-card category replaces the denomination-specific catalog URL.
CREATE_VARIANT,create-digital-variant:cmta5nw9j001t54iybpluaasg,cmta5nw9j001t54iybpluaasg,cmta5nw46001s54iy628m45ik,,,50|100,EMAIL,,,Official product page explicitly states delivery to the recipient email address.|Official gift-card category lists €50 and €100.|The official general gift-card category replaces the denomination-specific catalog URL.
UPDATE_CARD_TITLE,update-title:cmtb77ob5003wdkiyrw1g9la4,cmtb77ob5003wdkiyrw1g9la4,cmtb77o6f003vdkiysq2nbo5o,Δωροκάρτα 40,Tsiantakishome Gift Card,,,,,"Official product form explicitly requests recipient email addresses and a delivery date.|Official gift-card category lists €40, €80, €90 and €100.|The official general gift-card category replaces the denomination-specific catalog URL."
UPDATE_OFFICIAL_URL,update-official-url:cmtb77ob5003wdkiyrw1g9la4,cmtb77ob5003wdkiyrw1g9la4,cmtb77o6f003vdkiysq2nbo5o,https://www.tsiantakishome.gr/shop/dwrokartes/dwrokarta-40e/,https://www.tsiantakishome.gr/c/dwrokartes/,,,,,"Official product form explicitly requests recipient email addresses and a delivery date.|Official gift-card category lists €40, €80, €90 and €100.|The official general gift-card category replaces the denomination-specific catalog URL."
CREATE_VARIANT,create-digital-variant:cmtb77ob5003wdkiyrw1g9la4,cmtb77ob5003wdkiyrw1g9la4,cmtb77o6f003vdkiysq2nbo5o,,,40|80|90|100,EMAIL,,,"Official product form explicitly requests recipient email addresses and a delivery date.|Official gift-card category lists €40, €80, €90 and €100.|The official general gift-card category replaces the denomination-specific catalog URL."
