score,domain,merchant_name,possible_official_url,title,snippet,query,clean_bucket,clean_reason
100,1minutepay.com,The Most Popular Gift Cards In France,https://1minutepay.com/blog/popular-gift-cards-in-france/,The Most Popular Gift Cards In France,The Most Popular Gift Cards In France · 3. Itunes Gift Card · 4. Netflix Gift Card · 5. Amazon Gift Card · 6. Steam Card Gift card · 6. Neosurf Gift Cards.,"""France"" fashion ""gift card"" official",REVIEW,non_greek_domain
100,2gosoftware.eu,Douglas Gift Card - 25 Euro - Germany - 2GO Software,https://2gosoftware.eu/en-gr/douglas-gift-card-25-euro-germany,Douglas Gift Card - 25 Euro - Germany - 2GO Software,"Douglas Gift Card | 25 Euro | Germany · Money back guarantee · 100% legitimate codes · Real-time, digital delivery (by e-mail).","""Germany"" beauty ""gift card"" official",REVIEW,non_greek_domain
100,abbeytravel.ie,Abbey Travel Gift Vouchers,https://www.abbeytravel.ie/abbey-travel-gift-vouchers,Abbey Travel Gift Vouchers,Spain Back. Costa ... Abbey Travel Gift Vouchers. Give the gift of travel with an Abbey Travel Gift Voucher. Get A Gift Voucher. Abbey Travel Gift Vouchers ...,"""Spain"" travel ""gift voucher"" official",REVIEW,non_greek_domain
100,aberdevine.co,Aberdevine,https://aberdevine.co/products/aberdevine-e-gift-card?srsltid=AfmBOor5jrGAjbef3zyqGXV1ecCiTUFT7pwEISPH4OfwxUNM3m3KXv8q,E-GIFT CARD - Aberdevine,Lingerie gift card. E-Gift Card- perfect lingerie gift. Treat them to the perfect present by letting them choose their own dream Aberdevine lingerie set.,"""lingerie"" ""gift card"" Greece",REVIEW,non_greek_domain
100,absolutemassageandspa.gr,Gift Card,https://absolutemassageandspa.gr/product/gift-card/,Gift Card,"Τέλος μπορείτε να στείλετε τη δωροκάρτα που θα πάρετε στο αγαπημένο σας πρόσωπο. ... Στο Absolute Massage and Spa, θεωρούμε ότι η ευεξία είναι πολύ ...","site:.gr ""spa"" ""δωροκάρτα""",REVIEW,brand_domain_coherence_unclear
100,aceb.com,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,https://aceb.com/giftcards/sephora-italy,Buy Sephora Italy Gift Card with Crypto | Instant Delivery,Buy securely with cryptocurrency and receive your digital gift card instantly by email. The Sephora Italy Gift Card is the ideal choice for anyone who loves ...,"""Italy"" beauty ""gift card"" official",REVIEW,non_greek_domain
100,achilleassotiriou.com,Gift Card 200€ | ACHILLEAS SOTIRIOU,https://www.achilleassotiriou.com/product-page/gift-card-150-1?srsltid=AfmBOoqyPEjjSHUC_JEqXxxrisoFufdvYRnWQsw8UGft92tgMKb3T_Fk,Gift Card 200€ | ACHILLEAS SOTIRIOU,"Gift Card 200€ ... A hair salon gift card offers a luxurious experience. Treat yourself or a loved one to expert haircare, styling, and pampering services. It's a ...","""hair salon"" ""gift card"" Greece",REVIEW,non_greek_domain
100,acquoofsweden.com,ACQUO of Sweden,https://acquoofsweden.com/products/acquo-gift-card?srsltid=AfmBOop0hzMNoCCrL8WMAwkN2O-d6_8VvJPl-LtmDuZc1udrL_BTn1K1,ACQUO of Sweden - Gift Card,Give them the gift of choice with a gift card from ACQUO of Sweden. Gift cards are delivered immediately by email and contain instructions to redeem them at ...,"""Sweden"" fashion ""gift card"" official",REVIEW,non_greek_domain
100,adolfodominguez.com,Gift Card | AD Portugal,https://www.adolfodominguez.com/en-pt/gift-card-199990000300.html,Gift Card | AD Portugal,"We think that one gift is enough. Choose the value of your gift card: €50, €100 or €200. Send it by email to whoever you want. Enjoy the good choice.","""Portugal"" fashion ""gift card"" official",REVIEW,non_greek_domain
100,agramada.com,Buy your Gift Card,https://www.agramada.com/book-gift-card,Buy your Gift Card,Agramada Hotel. Languages. GR · EN · Press · Feedback Form · Contact Us ... Buy your Gift Card. 0. Your cart. ×. Make a reservation · Reservation ...,"""hotel"" ""gift card"" Greece",REVIEW,non_greek_domain
100,agrotourism.com.cy,Cyprus Gift Cards for Stays & Experiences - Agrotourism,https://agrotourism.com.cy/buy-e-gift-card/,Cyprus Gift Cards for Stays & Experiences - Agrotourism,giftcard 50. Discover Cyprus Gift Card. Buy Now. €50.00 · giftcard 75. Discover Cyprus Gift Card. Buy Now. €75.00 · giftcard 100. Discover Cyprus Gift Card. Buy ...,"""Cyprus"" hotel ""gift card"" official",REVIEW,non_greek_domain
100,ailanajewelry.com,AILANA JEWELRY GIFT VOUCHER,https://ailanajewelry.com/en-fr/products/gift-voucher-ailana-jewelry?srsltid=AfmBOopxmGJ6iWeKOzeugsnZdF2Qsy8v7W0vXzDgCdCGmJafwykovSDy,AILANA JEWELRY GIFT VOUCHER,AILANA JEWELRY GIFT VOUCHER ... Tax included. Shipping calculated at checkout. Denominations. 20.00 € 40.00 € 60.00 ...,"""jewelry"" ""gift voucher"" Greece",REVIEW,non_greek_domain
100,airserbia.com,Gift voucher,https://www.airserbia.com/en/explore/services/gift-voucher,Gift voucher,Sweden (SEK) · Switzerland (CHF) · Turkey (USD) · United Kingdom (GBP) · United ... Gift voucher. You wish to surprise your dear one with something special ...,"""Sweden"" travel ""gift voucher"" official",REVIEW,non_greek_domain
100,aldoshoes.gr,Gift Card – ALDO Greece,https://aldoshoes.gr/pages/gift-card,Gift Card – ALDO Greece,"Gift Card. Customer Care. Help Center · Orders ... Shoes you'll love. Accessories you'll wear ... By submitting this form, you consent to receive informational ( ...","""shoes"" ""gift card"" Greece",REVIEW,brand_domain_coherence_unclear
100,alexander-edu.org,Gift Card - Learn Modern and Ancient Greek in Greece!,https://alexander-edu.org/gift-card/,Gift Card - Learn Modern and Ancient Greek in Greece!,Close Greek Courses Open Greek Courses. Modern Greek Programs · Compact Course ... Gift Card. Want to surprise someone with more than just a typical gift ...,"""courses"" ""gift card"" Greece",REVIEW,non_greek_domain
100,alexandrisstores.gr,Valentine's day Gift Card,https://alexandrisstores.gr/en/product/valentines-day-gift-card-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,Valentine's day Gift Card - Δωροκάρτα - Αλεξανδρής Καταστήματα,Weeks Special. alexandris-stores-leather-sneakers-mple-blue-dermatina-anatomika- ... Valentine's day Gift Card – Δωροκάρτα ... δωροκάρτα με το ποσό και το κείμενο ...,"site:.gr ""leather"" ""δωροκάρτα""",REVIEW,brand_domain_coherence_unclear
